patient	LMPP	MEP	HSC	ProgDC	Mono	GMP	cDC2	pDC
15-00734	0.311542405379681	0.0982459624835848	0	0	0.172751726319366	0.198372424976753	0.219087480840614	0
15-00755	0.467907904135364	0.128126741018474	0.164645180332589	0.105662794916905	0.0885729250429611	0.0382595128619639	0	0.00682494169174291
15-00756	0.189413870865008	0.0975518789252568	0.11311122486154	0.0115157059341484	0.119395446348406	0.464771938113778	0	0.00423993495186391
15-00763	0.422382721952143	0.0458511684119766	0.447965731238469	0.0358791628602623	0.0174123206448546	0.0223049180392832	0	0.00820397685301168
15-00766	0.0128291893406714	0.0764994116212026	0.126940932842066	0.0408445266947376	0.495875286247598	0.247010653253725	0	0
15-00767	0.0614630928711011	0.190516897830952	0.282166332622281	0.0655082661114262	0.21709339081083	0.18325201975341	0	0
15-00777	0.128348920707693	0.0318448685317129	0.0316978998390928	0.0626312848851051	0.322144567499691	0.00314107444828711	0.420191384088417	0
15-00786	0.506705473899153	0.198242112177244	0.125110903064451	0.020845246553008	0.0192834533461197	0.0358814529773382	0.0796797916782563	0.0142515663044294
15-00807	0.0628182884260472	0.0352460210776853	0.127776588456615	0.127282374092201	0.525360360401441	0.12151636754601	0	0
15-00811	0.260589762025581	0.280866524773221	0.297266802343996	0.0231111918763416	0.117391555214512	0.0113272605908649	0	0.0094469031754836
15-00813	0.314892420595845	0.0316653478666313	0.221836395329078	0.0287076868008505	0.0756883144846125	0.315528212200935	0	0.0116816227220477
15-00829	0.212080282279044	0.0799253208557777	0.0972520326287231	0.0676609891438637	0.259570708537643	0.0492395068860714	0.189891388282712	0.0443797713861642
15-00837	0.31046613370922	0.0247607232494434	0.46376932035369	0.0194946621723273	0.127415292847421	0.0338292378403754	0.0111982658948433	0.00906636393268025
15-00855	0.155466598112133	0.0416538407456402	0.107132431674204	0.00600362166089908	0.302208504559985	0.382023801881674	0	0.00551120136546417
15-00858	0.480325040974419	0.049441190492175	0.12644720170699	0.0581571570073508	0.189370950106033	0.0917258780436763	0	0.00453258166935611
15-00870	0.18286953354319	0.104238171048886	0.106723377552831	0	0.280786597594124	0.0983830825910879	0.226999237669882	0
15-00872	0.195821190990983	0.0694383477916978	0.0169033158699709	0.0699309464092891	0.195964606268547	0.310628884404523	0.141312708264989	0
15-00874	0.276277496975784	0.0151920535264541	0.624691604695951	0.020329347871246	0.0536883018626755	0.00174032845208263	0.0030776516392367	0.00500321497657003
15-00883	0.57063942513559	0.118963071657342	0.18456242455272	0.00782915570429425	0.064562340274623	0.0267804413148613	0.0198945731721106	0.00676856818845927
15-00892	0.132648651387442	0.0290652147928289	0	0	0.435496934722237	0	0.402789199097492	0
15-00900	0.164197404993213	0.013333419794875	0.303519540109673	0.00268842423028246	0.264152035374561	0	0.239485596857848	0.0126235786395467
15-00903	0.0984174692866439	0.0356110421406056	0.610562800621505	0.0152547285882259	0.206557113334607	0	0.0277498083963614	0.00584703763205137
15-00909	0.147583260956554	0.034008998507691	0.557545640547779	0.0297105136610711	0.156928610852824	0.00268926619790177	0.0640255191046675	0.00750819017151236
15-00912	0.0907780082253055	0.0520851512275331	0.152666924174568	0.0705016982025228	0.218257980578362	0.407955464870092	0	0.00775477272161636
15-00936	0.394490696410704	0.0943967033201452	0.212251445371626	0	0.106052269921884	0.00570847777846424	0.185366642777096	0.00173376442008107
15-00939	0.370185337006193	0.084713185329783	0.462951493915586	0.022793874095368	0.0170906060106346	0.0332913877106014	0	0.00897411593183429
15-00942	0.0212754004431846	0.00142920155213069	0.0383408168671972	0.0536278556856088	0.797474679991622	0.0605662247307102	0	0.0272858207295467
15-00961	0.0332423294889575	0.0371049241177922	0.076040790744097	0	0.473796779007891	0.379815176641263	0	0
15-00965	0.665710426192503	0.0110204556645386	0.0972830621588994	0.00621117476518731	0.0607013532193851	0.123233055558128	0	0.0358404724413584
15-00967	0.223200505398323	0.510244331303926	0.150208348805847	0	0.0189989040127809	0.0197322223590545	0.0677732406662928	0.00984244745377691
15-00974	0.195317002456167	0.107537512956639	0.663021044929422	0.0101301718775823	0.0106663588320242	0.00437793656953872	0	0.00894997237862693
15-00975	0.348502296752735	0.109262118825539	0.223525903129726	0.0133346229010039	0.103074554818291	0.0488548100027407	0.125833295737279	0.0276123978326857
15-00976	0.113582288676793	0.0481605038474971	0.105817967613293	0.0112969941867269	0.352909312025322	0.368232933650367	0	0
15-00979	0.43826845539105	0.134433993237528	0.0156851898153996	0	0.0794805853057489	0.0744851224089608	0.257646653841312	0
